,Time,Count
0,2021-12-22 09:00:00,1548
1,2021-12-22 09:05:00,2634
2,2021-12-22 09:10:00,2721
3,2021-12-22 09:15:00,2641
4,2021-12-22 09:20:00,2340
5,2021-12-22 09:25:00,2956
6,2021-12-22 09:30:00,2621
7,2021-12-22 09:35:00,2843
8,2021-12-22 09:40:00,3211
9,2021-12-22 09:45:00,3858
10,2021-12-22 09:50:00,4937
11,2021-12-22 09:55:00,7032
12,2021-12-22 10:00:00,8901
13,2021-12-22 10:05:00,10716
14,2021-12-22 10:10:00,10739
15,2021-12-22 10:15:00,10126
16,2021-12-22 10:20:00,9144
17,2021-12-22 10:25:00,8283
18,2021-12-22 10:30:00,7573
19,2021-12-22 10:35:00,5966
20,2021-12-22 10:40:00,6051
21,2021-12-22 10:45:00,6254
22,2021-12-22 10:50:00,5055
23,2021-12-22 10:55:00,5356
24,2021-12-22 11:00:00,4738
25,2021-12-22 11:05:00,4561
26,2021-12-22 11:10:00,3977
27,2021-12-22 11:15:00,4774
28,2021-12-22 11:20:00,4689
29,2021-12-22 11:25:00,4327
30,2021-12-22 11:30:00,3588
31,2021-12-22 11:35:00,2792
32,2021-12-22 11:40:00,4158
33,2021-12-22 11:45:00,4060
34,2021-12-22 11:50:00,3668
35,2021-12-22 11:55:00,2854
36,2021-12-22 12:00:00,3609
37,2021-12-22 12:05:00,3789
38,2021-12-22 12:10:00,4494
39,2021-12-22 12:15:00,4217
40,2021-12-22 12:20:00,3931
41,2021-12-22 12:25:00,1779
42,2021-12-22 12:30:00,1374
43,2021-12-22 12:35:00,4005
44,2021-12-22 12:40:00,4102
45,2021-12-22 12:45:00,3819
46,2021-12-22 12:50:00,4525
47,2021-12-22 12:55:00,4541
48,2021-12-22 13:00:00,4615
49,2021-12-22 13:05:00,4828
50,2021-12-22 13:10:00,4372
51,2021-12-22 13:15:00,4527
52,2021-12-22 13:20:00,4532
53,2021-12-22 13:25:00,4679
54,2021-12-22 13:30:00,4977
55,2021-12-22 13:35:00,5042
56,2021-12-22 13:40:00,5117
57,2021-12-22 13:45:00,5617
58,2021-12-22 13:50:00,5654
59,2021-12-22 13:55:00,5430
60,2021-12-22 14:00:00,5358
61,2021-12-22 14:05:00,5411
62,2021-12-22 14:10:00,5172
63,2021-12-22 14:15:00,2583
64,2021-12-22 14:20:00,4295
65,2021-12-22 14:25:00,5950
66,2021-12-22 14:30:00,5788
67,2021-12-22 14:35:00,5015
68,2021-12-22 14:40:00,5478
69,2021-12-22 14:45:00,5336
70,2021-12-22 14:50:00,5307
71,2021-12-22 14:55:00,5449
72,2021-12-22 15:00:00,5371
73,2021-12-22 15:05:00,5838
74,2021-12-22 15:10:00,5713
75,2021-12-22 15:15:00,6486
76,2021-12-22 15:20:00,7004
77,2021-12-22 15:25:00,5911
78,2021-12-22 15:30:00,6140
79,2021-12-22 15:35:00,1511
80,2021-12-22 15:40:00,5857
81,2021-12-22 15:45:00,5948
82,2021-12-22 15:50:00,5940
