,Time,Count
0,2022-05-12 20:30:00,199
1,2022-05-12 20:35:00,1686
2,2022-05-12 20:40:00,1833
3,2022-05-12 20:45:00,2049
4,2022-05-12 20:50:00,2482
5,2022-05-12 20:55:00,3315
6,2022-05-12 21:00:00,3929
7,2022-05-12 21:05:00,10581
8,2022-05-12 21:10:00,14021
9,2022-05-12 21:15:00,20357
10,2022-05-12 21:20:00,20431
11,2022-05-12 21:25:00,21203
12,2022-05-12 21:30:00,21136
13,2022-05-12 21:35:00,20834
14,2022-05-12 21:40:00,19534
15,2022-05-12 21:45:00,21373
16,2022-05-12 21:50:00,21324
17,2022-05-12 21:55:00,21138
18,2022-05-12 22:00:00,21546
19,2022-05-12 22:05:00,21298
20,2022-05-12 22:10:00,19770
21,2022-05-12 22:15:00,21152
22,2022-05-12 22:20:00,21585
23,2022-05-12 22:25:00,21256
24,2022-05-12 22:30:00,21285
25,2022-05-12 22:35:00,22384
26,2022-05-12 22:40:00,25147
27,2022-05-12 22:45:00,22916
28,2022-05-12 22:50:00,19991
29,2022-05-12 22:55:00,20848
30,2022-05-12 23:00:00,16825
31,2022-05-12 23:05:00,21428
32,2022-05-12 23:10:00,20232
33,2022-05-12 23:15:00,20998
34,2022-05-12 23:20:00,22129
35,2022-05-12 23:25:00,18963
36,2022-05-12 23:30:00,14638
37,2022-05-12 23:35:00,12179
38,2022-05-12 23:40:00,10489
