,Country,Count
0,United_Kingdom,25591
1,Ukraine,24664
2,Spain,15906
3,Moldova,13042
4,France,11614
5,Australia,9434
6,Italy,9104
7,Serbia,8581
8,Germany,6907
9,Norway,6618
10,Portugal,6439
11,Sweden,5724
12,Romania,4958
13,Finland,4549
14,Armenia,4152
15,Greece,3690
16,Switzerland,3670
17,Poland,3635
18,Lithuania,2943
19,Czech_Republic,2933
20,San_Marino,2661
21,Iceland,2623
22,Estonia,2114
23,Netherlands,1863
24,Belgium,1563
25,Azerbaijan,1399
26,Ireland,943
27,Albania,883
28,Israel,790
29,Slovenia,665
30,Cyprus,644
31,Latvia,580
32,Georgia,306
33,Malta,300
34,Austria,264
35,North_Macedonia,215
36,Croatia,153
37,Montenegro,152
38,Denmark,107
39,Bulgaria,78
